-> L0()
0.0001
6.840753709838905e-05
7.984743663772376e-05
4.7009530183614435e-05
5.171114754082796e-05
2.602414895657827e-05
1.3014472665649492e-05
1.2215462261028481e-05
7.899463876981777e-06
4.752615164655417e-06
4.715003397531132e-06
