0 -> U2L2,0 -> U3
0.0003386392083898107,0.0002193562310014689
0.0003090940444644875,0.00015706172443706744
0.00045258411346525793,8.228366513042118e-05
0.0003094508723274552,5.7080408458776644e-05
0.00016732108718646807,3.4477576844517826e-05
0.0001526758393051416,4.184272478400891e-05
0.00010737610870013335,4.434046056803979e-05
0.0001120130502601295,6.467091110784354e-05
0.00013198093015900315,4.64349881701269e-05
0.00013515484144198847,5.5947662045003656e-05
0.00015948671349085887,5.950364808876311e-05
