0 -> L4,0 -> L0
3.877170189515583e-05,0.0003463338906676103
4.477089350695863e-05,0.000198929526047629
4.869234092012849e-05,0.0002665404375523335
5.7486316601964614e-05,0.00016544267468108172
3.6521479845753516e-05,0.000160316274241055
4.067360321776117e-05,0.00011369438370712811
2.1048331830669133e-05,0.00011429189328263092
1.3473315094078975e-05,0.00013268633745414928
9.957799533824226e-06,7.888071321953456e-05
7.634643759675647e-06,5.640848126521533e-05
8.131762616196301e-06,6.799202630136813e-05
