input range (species/sec),tau (sec),fitness_means,fitness_stds
0.0001,0.1,16.77966027658564,0.0
0.0001,0.2,19.16163710086942,0.0
0.0001,0.3,50.918044745458104,0.0
0.0001,0.4,5.356510678662468,0.0
0.0001,0.5,13.647914661000382,0.0
0.0001,0.6,3.5743676519811607,0.0
0.0002,0.1,208.7466590465857,0.0
0.0002,0.2,455.7398676748137,0.0
0.0002,0.3,60.887440175473444,0.0
0.0002,0.4,109.14089145297613,0.0
0.0002,0.5,7.91845810232938,0.0
0.0002,0.6,10.034020022679957,0.0
0.0003,0.1,170.77270544685155,0.0
0.0003,0.2,11.514509314593672,0.0
0.0003,0.3,30.662359162899524,0.0
0.0003,0.4,7.131910327046055,0.0
0.0003,0.5,12.000391872192113,0.0
0.0003,0.6,4.443618505700696,0.0
0.0004,0.1,18.393503276319173,0.0
0.0004,0.2,22.01166507544429,0.0
0.0004,0.3,37.670048274463916,0.0
0.0004,0.4,21.030653275165022,0.0
0.0004,0.5,4.632329669721192,0.0
0.0004,0.6,19.909975344856147,0.0
0.0005,0.1,288.0872829583121,0.0
0.0005,0.2,15.506855333085669,0.0
0.0005,0.3,21.2277512299503,0.0
0.0005,0.4,8.686422201752645,0.0
0.0005,0.5,6.28953431254111,0.0
0.0005,0.6,2.1860091398531756,0.0
0.0006,0.1,29.0991986129947,0.0
0.0006,0.2,16.412319833963597,0.0
0.0006,0.3,9.993183731111596,0.0
0.0006,0.4,27.47743500266524,0.0
0.0006,0.5,6.458697743515585,0.0
0.0006,0.6,9.418505930303159,0.0
