input range (species/sec),tau (sec),fitness_means,fitness_stds
0.0001,0.1,226.58839798021958,164.12595356979023
0.0001,0.2,185.11113026626253,127.96824249814122
0.0001,0.3,241.6905266633289,183.145665216941
0.0001,0.4,256.17595968486427,169.32327966380308
0.0001,0.5,1409.3448348366721,1836.6730845468696
0.0001,0.6,2603.0175929002426,6381.74195996952
0.0002,0.1,180.19955649321358,144.93803534832216
0.0002,0.2,289.8983523886487,304.20749983221054
0.0002,0.3,165.8087580372815,174.55404085828766
0.0002,0.4,463.79973084986716,807.4080639997491
0.0002,0.5,1901.8983537764138,2653.713747800638
0.0002,0.6,3053.183370486182,5582.315487361698
0.0003,0.1,226.19696493287248,142.57621302751247
0.0003,0.2,162.7311747306399,108.37487321039394
0.0003,0.3,196.2204805640593,127.68994860825396
0.0003,0.4,491.8357554432284,1031.0213232544288
0.0003,0.5,1315.5715334191689,1738.497807237876
0.0003,0.6,704.4143796644296,921.1749113964844
0.0004,0.1,183.0002474915746,170.28519890741924
0.0004,0.2,203.2026284185953,127.0062843694173
0.0004,0.3,200.06325822458658,131.3483607529342
0.0004,0.4,363.0848593349451,412.97317619095134
0.0004,0.5,2166.3421417305617,5795.833357886688
0.0004,0.6,88248.83790777223,263592.06496321526
0.0005,0.1,242.27696264540742,159.1805952136883
0.0005,0.2,196.7715081388214,77.2308830449103
0.0005,0.3,170.25003532487455,105.11517959592568
0.0005,0.4,515.9125433316133,878.7021673249246
0.0005,0.5,2803.3134456483303,6749.966098903105
0.0005,0.6,4891.793830478173,11665.273222585402
0.0006,0.1,168.988388011773,137.24109317566806
0.0006,0.2,239.95792218773468,152.6179177819311
0.0006,0.3,288.6483239868693,288.3365294901877
0.0006,0.4,348.32984877286594,87.8966481540312
0.0006,0.5,1984.2189089053977,2331.048694946796
0.0006,0.6,1775.5234697117492,3709.7420571098746
