0 -> U3L1,0 -> L1
0.0006730336064827918,0.0004066681894625458
0.0009324278695423045,0.0002391324489129586
0.000650748768845988,0.00012579061811869428
0.000754764497419279,0.000128935219634587
0.0010862480778215699,8.849976707716338e-05
0.0010923057987949048,7.906438278591817e-05
0.0012856760037166187,0.00010260339592371893
0.0013776030935414734,9.890613648233034e-05
0.0011732728682386406,5.4755986911726604e-05
0.0007381022073804017,5.1683431305976624e-05
0.000497699898966027,6.92935017370239e-05
