"Time ",U0,U1,U2,U3,L0,L1,L2,L3,L4,U2L2,U0L4,U0L0,U1L0,U1L3,U2L1,U3L1,U3L4
0.48063166144266023,2.4283514366817545,0.0004172696497815077,3.0717706651635744e-8,461.0936977953118,9.522470716416203,0.00000238249954102013,2.123897073173653e-11,1.0051587194414336e-10,0.0000014316583831065073,455.94885181256365,1731.1174609913596,267.8732258448442,1342.3441544528423,57.97128730457063,1061.5981557368302,413.719678641272,20.722832956257054
0.48337957557551237,2.394795961290255,0.00035480351580629817,2.562951715108078e-8,461.0463571309656,9.441512487049533,0.0000019615086894178073,1.1741186571044663e-11,8.124169938222037e-11,0.0000013955540761088813,455.9488518125729,1731.1422016986028,267.8820406080765,1342.344217434011,57.97128730458921,1061.5981557419047,413.71967905227393,20.69809272463903
0.4861274897083645,2.3617985418610425,0.0003017789189335631,2.1384811663875518e-8,460.99926587144165,9.361371079306156,0.0000016150212824927812,6.22935162936396e-12,6.566698407026786e-11,0.0000013664805122150233,455.94885181257825,1731.166572089274,267.8906676327893,1342.344270973646,57.971287304604225,1061.5981557461405,413.7196793904819,20.673722802562335
0.4888754038412167,2.3293488027505256,0.00025679919458040663,1.7848073422356683e-8,460.95242457153256,9.282035289503854,0.0000013303425887769512,4.477209171369138e-12,5.3117233574877335e-11,0.0000013431644131776686,455.94885181257996,1731.1905790608212,267.8991103970295,1342.3443164684113,57.971287304616325,1061.5981557496725,413.71967966830704,20.64971629385215
0.49162331797406883,2.2974365706953987,0.0002185576999949766,1.4890562703774692e-8,460.9058337152797,9.20349413538141,0.0000010952465306791143,2.389368334060886e-12,4.29238474206267e-11,0.000001324104466609831,455.948851812582,1731.2142293542147,267.907372332947,1342.3443552249491,57.97128730462615,1061.5981557526254,413.7196798977078,20.62606645903921
0.49479788601299785,2.261225281151473,0.00018150173994648173,1.2077715798323844e-8,460.8523213006468,9.113733523199858,8.748198557492121e-7,1.0642036989289297e-12,3.3551560852715005e-11,0.0000013065157271211665,455.9488518125833,1731.2411162866647,267.9166966874686,1342.344392875923,57.97128730463519,1061.5981557554346,413.7196801127548,20.599180051940817
0.4979724540519269,2.2257022241857203,0.00015083426005326492,9.79673047827269e-9,460.7991442755981,9.025002873986994,6.988286001150093e-7,3.7181790218176634e-13,2.6227689988755178e-11,0.0000012926945562235012,455.948851812584,1731.267545910744,267.9257901183016,1342.3444241384184,57.971287304642246,1061.5981557577131,413.71968028441603,20.572750949445513
0.5011470220908559,2.190852122774489,0.0001254906394581392,7.951829634130808e-9,460.7463030998277,8.937286314849118,5.588364824640403e-7,4.0655653251569746e-13,2.053963962652876e-11,0.0000012819251052423788,455.94885181258394,1731.2935279031476,267.93465822567634,1342.344450077056,57.97128730464773,1061.5981557595564,413.71968042093346,20.546769475574465
0.504321590129785,2.1566601145490214,0.00010445272722477849,6.4486303077125915e-9,460.6937981205207,8.850568321799006,4.463057745400382e-7,1.6911638495049508e-13,1.6047973295006565e-11,0.000001273304815593121,455.9488518125842,1731.3190716887948,267.94330644694196,1342.3444717099865,57.97128730465206,1061.5981557610583,413.7196805306517,20.52122620631033
0.5078776952497237,2.119122007792677,0.00008515488266088911,5.099215414166285e-9,460.63538235053767,8.754595155035624,3.469135255189333e-7,5.18124891467997e-14,1.2169838837543805e-11,0.000001265785978354061,455.94885181258434,1731.3471764337835,267.95273980755064,1342.344491674363,57.971287304655796,1061.5981557624066,413.71968062753865,20.49312203762921
0.5114338003696624,2.0823710021962496,0.000069541749294865,4.032461281251969e-9,460.5773889748155,8.659835144765115,2.6969015227221013e-7,-3.591680373234796e-15,9.229487301073378e-12,0.0000012600190606767252,455.9488518125844,1731.3747553915377,267.96191185449237,1342.3445079540293,57.97128730465863,1061.5981557634723,413.71968070279775,20.465543654430498
0.5149899054896011,2.0463873679067692,0.00005694321696752523,3.1931612186683573e-9,460.51981805934474,8.56626796184172,2.1010234349597732e-7,2.6802129625232358e-14,7.025651157296918e-12,0.0000012556554709452205,455.94885181258434,1731.4018207677527,267.9708301118722,1342.3445212190952,57.971287304660756,1061.598155764311,413.71968076085415,20.438478851367723
0.5185460106095399,2.011151996019524,0.00004669795045066839,2.5241515430576633e-9,460.4626695214338,8.473873758627525,1.632560994105535e-7,8.72023068407573e-15,5.3234031716757444e-12,0.0000012522387651324577,455.9488518125844,1731.428384420118,267.9795018308483,1342.3445321308957,57.9712873046624,1061.598155764979,413.7196808064879,20.411915771207852
