Time ,U0,U1,U2,U3,L0,L1,L2,L3,L4,U0L0,U0L1,U0L3,U1L2,U1L4,U2L0,U2L1,U2L3,U3L2,U3L4,U0L2,U0L4,U1L0,U1L1,U1L3,U2L2,U2L4,U3L0,U3L1,U3L3
0.0,491.0,779.0,512.0,77.0,665.0,97.0,221.0,731.0,457.0,374.0,614.0,639.0,137.0,768.0,99.0,874.0,198.0,183.0,187.0,902.0,140.0,886.0,765.0,449.0,355.0,34.0,769.0,154.0,799.0
9.089594628198957e-06,488.190034705366,778.0545925052022,508.4045177656751,78.93620995627798,662.4523503994726,97.95340298252705,221.8280227194403,729.4792500717709,453.8723283273367,377.64082090807534,614.2569444319876,640.7531658376815,139.1714915620646,769.9449020944177,100.87161124080322,874.7479464837435,199.7388526875667,183.66723967329207,188.11991223666888,899.3010460289078,139.8579837220676,884.6982132788373,763.378447908765,448.75234742266923,354.03219753214523,34.20487142826222,767.3370003139515,153.66325473340459,797.2763800896743
1.9905911082067598e-05,484.8824542903154,776.9189261936548,504.1750100537863,81.20374042248133,659.4389183703777,99.07558776084541,222.79359006281845,727.6816747773757,450.19035904281236,381.94716021840617,614.5605490732587,642.8211664270927,141.7509505857198,772.2401228153489,103.0756640415668,875.6312414645154,201.7905497340993,184.46683116393783,189.4419472219037,896.1034395227334,139.68522090698582,883.1617899480156,761.4662996838051,448.46189932421316,352.8851832245842,34.442345214191576,765.3764589708583,153.26631444122634,795.2447012168524
3.089199492994075e-05,481.5625644831762,775.7539828818071,499.93277304198125,83.4669686740156,656.3982946848707,100.2018514373772,223.7526630152408,725.8691939507048,446.49428452467583,386.2923169247009,614.8665623210007,644.9016333112153,144.3657570302113,774.5503165413487,105.2889820822735,876.521001322184,203.85526158955474,185.28503158283004,190.7730510561285,892.8712352902149,139.5056728316485,881.6151169375073,759.5432794081545,448.17152943288454,351.72530463884374,34.676667599003586,763.4052762558838,152.86729375354315,793.2023684928786
4.4427718821084836e-05,477.5260721353484,774.3034421264937,494.77903103309916,86.20126088701937,652.6796668795812,101.57103145059338,224.90482115244308,723.6543346369143,441.9999499510458,391.6064613048689,615.240384719802,647.4376404779338,147.58015703791375,777.3678755863043,107.98144427936722,877.6071509749712,206.37296221286488,186.30125321976348,192.3971026659101,888.9104271675926,139.27899285493208,879.7283693411783,757.2000750303553,447.82005532435295,350.3033292803688,34.95606823152855,761.0040393338388,152.3813409147334,790.7149883314488
5.566542050923186e-05,474.2192242479277,773.0869054312485,490.5604179307943,88.42680309786053,649.615397695348,102.69251239158724,225.83705413198257,721.8306650421051,438.3177188013651,395.9856929952929,615.5480950175727,649.5205490660315,150.2426497982417,779.6832691125148,110.18832152267036,878.5005478985672,208.44159061909824,187.1515511058958,193.73221197858152,885.6400455600067,139.08636637595356,878.1774956089357,755.276240885644,447.5334071464466,349.12868419073584,35.180420312210664,759.0330685457786,151.9825826199249,788.6737642997375
6.816218350664608e-05,470.5882244903131,771.7215666214877,485.9320515146272,90.85523014075228,646.2321575534053,103.92366129602259,226.84828445352176,719.8186594520906,434.2743067728008,400.8211265871468,615.8875108328263,651.8131737466452,153.19674616493106,782.2330589651967,112.61264210950478,879.4852759048863,210.71930432848882,188.1039165442817,195.20301575337402,882.022331630065,138.86759997334346,876.4691294591421,753.1594506513394,447.2200089331964,347.82870257874794,35.42200210329107,756.8649153535008,151.54407537185352,786.4288243639835
8.191800781332751e-05,466.6467401155269,770.204110631544,480.9125247770036,93.47293195123872,642.5374636026229,105.25970649462748,227.93096361796887,717.6232018298638,429.8849680371591,406.1022835661542,616.2578094763822,654.3084335947842,156.44018303058704,785.0097088514847,115.2455422728192,880.5587061354074,213.1993194933214,189.16023249561496,196.8053264008324,878.063257960353,138.62143593994182,874.6080865313693,750.8564450708844,446.88141876751394,346.40534050761187,35.67854102244382,754.5065892498917,151.06730164404976,783.9875912509883
9.690266485810958e-05,462.4177693225107,768.5345792635612,475.53239304452944,96.25992642833393,638.5474860138299,106.69267834618086,229.0747757444509,715.2543229665525,425.1754003827193,411.8064070962631,616.6573109221372,656.9933650613041,159.96331426697432,787.9991336444066,118.0719030779299,881.7157000169717,215.86902311127682,190.32008992941246,198.5311848948391,873.7779620826501,138.34713897084677,872.6035183462061,748.3793952832705,446.5200034602698,344.86383149340105,35.947118746668956,751.970644327102,150.55487854951105,781.3632439231553
0.00011311615464099226,457.91616226134613,766.7097757033957,469.81190409132853,99.20152981465037,634.2707549883212,108.2173307275728,230.27148070436127,712.7175110401735,420.16228903456056,417.92176123453385,617.0851137404803,659.8601595414173,163.76336204081042,791.1929741380064,121.08201679128645,882.953352664836,218.72094114231635,191.58539522330173,200.3759420890672,869.1733118015114,138.04343708875965,870.4606806878587,745.735711708978,446.13743066015854,343.20641931582213,36.22533038046859,749.264738276121,150.00844810522014,778.5639091986009
0.00013094797415458967,453.05205241433924,764.6821050868313,463.63857125276365,102.35038481551224,629.6151840995401,109.8638084873389,231.53967382145055,709.9586559218518,414.7457850160946,424.5806588941527,617.5503817861012,662.9680265512982,167.92805443955928,794.6575950664142,124.33621556110528,884.2977999661357,221.814342364176,192.9888271720666,202.378150044153,864.1473069919847,137.70151046519322,868.1345759324471,742.8710424581277,445.7265516995365,341.39610178738104,36.51692784025497,746.3333099206271,149.4169174624508,775.5323674132147
0.00015039812339890177,447.8474368799413,762.4472901041768,457.04243380559564,105.6848646628314,624.5938114826747,111.62427472704266,232.86711952192184,706.9860876078662,408.9507249655204,431.76531843559263,618.0517694285912,666.3052707395374,172.45290749596413,798.3804240044466,127.8200348649983,885.744683701911,225.1380396167342,194.53304297164226,204.53081074459675,858.7105498980715,137.31958237903964,865.6330201639453,739.7964617300028,445.28980999727736,339.4363390091946,36.81842164962046,743.187751203373,148.78275316972432,772.2807276633763
0.00016012319802105783,445.28370123905853,761.3213750741967,453.7969279841848,107.3139201959444,622.1050895416731,112.4909171437056,233.50947688637982,705.5139608355603,406.09647247637184,435.32733978374876,618.3001231470796,667.9536699009626,174.70826749790015,800.2202156799273,129.5367708567264,886.4606041313091,226.78052742184244,195.31016077978612,205.59511610649952,856.0098215242838,137.12526749449268,864.3958880551739,738.2783757297819,445.07578586528166,338.4622295506205,36.96288964148964,741.6348437846176,148.46991890395472,770.6759874385012
0.0001705759178065997,442.556253210836,760.1052193960023,450.3469158242134,109.03709055410056,619.4463429401668,113.41246911053244,234.1843114078672,703.9420937166826,403.0602537034548,439.1336138893709,618.5653492896928,669.7106100508722,177.1270651163414,802.1818211706174,131.3635722819707,887.224585078844,228.53174784543185,196.14900218813423,206.7302417818514,853.1200726016913,136.9140190265125,863.0761496049469,736.6607427394397,444.84890386284417,337.41950206824987,37.11362319648685,739.9802488679288,148.13678885893341,768.9665715122189
0.00018102863759214156,439.857489253726,758.8831025455313,446.9360296752394,110.73196339815551,616.8042520477003,114.32386138394413,234.84323239842536,702.3809152056972,400.05631523368146,442.91703222492373,618.8288271625968,671.4524086986756,179.54031414570147,804.1271949624045,133.17158563207315,887.9829286818336,230.26847803263496,196.99143722536044,207.8563362282461,850.2437913377385,136.70036437066486,861.7665828759192,735.0574686731535,444.62523267541184,336.38117541837164,37.25974556406787,738.340470366212,147.80684519752546,767.2728879015315
0.0001914813573776834,437.18696755502083,757.6552769950107,443.5636829639921,112.39901838662823,614.1787011351615,115.22522751044107,235.48647530238526,700.8303307612903,397.08420209141485,446.67780736204895,619.0905799691841,673.1792540087198,181.94797011632681,806.0565205586998,134.96107075294293,888.7357023671502,231.9909005182042,197.83735163061047,208.9734995650236,847.3809208345483,136.48437829815327,860.4670422108105,733.4683664669632,444.40471351824135,335.34722978504004,37.40135332591517,736.7152972483087,147.4800508069263,765.5947192333975
0.00020193407716322524,434.5442547520698,756.421988738962,440.22929990129785,114.03872588891512,611.5695748260216,116.11669892088229,236.1142719320085,699.2902466734835,394.1434673321352,450.4161491787258,619.3506304070287,674.8913310743354,184.3499902488683,807.9699788101545,136.7322829434155,889.4829724502971,233.6991947917694,198.68663342779573,210.08183045025737,844.5314038120691,136.26613378279592,859.1773848708888,731.8932522677443,444.18728891736504,334.31764539148287,37.53854094400586,735.1045224526653,147.156369096324,763.9318521088011
0.00021329395379296215,431.7032280073069,755.0757522652398,436.6479266050979,115.79026528554077,608.7525014807583,117.07446892532332,236.77930389938743,697.6283022523863,390.9825854687496,454.4537327367078,619.6313452253469,676.7354595226548,186.95403512028759,810.0317148685893,138.636784713049,890.2889308697821,235.53993140547595,199.6133120960449,211.2764475244504,841.4496614576466,136.02647060098624,857.7868465878257,730.1970901179143,443.95443836028886,333.2036291342493,37.682730118025376,733.3700439306998,146.80808368025004,762.141777162558
0.00022465383042269917,428.8940104556669,753.7236454618097,433.1100139375531,117.51062864757375,605.9545442473594,118.020868170583,237.42664993254812,695.9785319698555,387.8576935058104,458.465327224271,619.9101033659227,678.5625897109275,189.55132444222357,812.0751456079031,140.52031635650272,891.0885481798982,237.36441199446045,200.5437006600406,212.46087015857225,838.38354827743,135.7843130600555,856.4076408222761,728.5170082903679,443.72510616172735,332.0947152907648,37.821923509911635,731.6520759759547,146.46338648818494,760.3692640040025
0.00023601370705243608,426.1160787428365,752.3659589451428,429.61486466186966,119.20038369084341,603.1755564969801,118.95605711472992,238.05659350232898,694.3408187895958,384.7682489207437,462.45119145645765,620.1869319840893,680.3729472704097,192.14180985696186,814.1004927940924,142.38318796703382,891.8819051634131,239.17285511018548,201.4776642787669,213.63521927510467,835.3329892826342,135.53974790147035,855.0395956972761,726.852783289536,443.49922366946123,330.9908785777063,37.95623421229355,729.95036818594,146.12223261952866,758.6140541389303
0.000247373583682173,423.3689202236078,751.0029752500374,426.16179524248514,120.8600863512475,600.4153922119693,119.88019349070395,238.66941336757444,692.7150468239109,381.713719417038,466.4115807390523,620.4618576077414,682.1667538990864,194.7254451205984,816.107974766417,144.2257038451395,892.6690811859372,240.96547541531066,202.4150710322971,214.79961391594694,832.2979090974646,135.2928596145693,853.6825430024466,725.2041957114501,443.27672386768387,329.8920937758552,38.085772651185415,728.2646751824034,145.7845778518043,756.8758941102001
0.000259885874332382,420.378087649124,749.4959197901787,422.4063244039068,122.65402979475408,597.396830963656,120.88547388026035,239.3249116603089,690.9380292381009,378.3891035448224,470.74455425522865,620.7625019153018,684.1236408137224,197.56319935547424,818.298689084961,146.23193460163856,893.5290529472653,242.9218899569929,203.45140449766757,216.07075137485884,828.9727553003786,135.0183352378634,852.2003477414527,723.4062054803231,443.03548906957474,328.68765816040155,38.22305810628831,726.4262221071177,145.41666686220853,754.9808396821405
0.00027239816498259104,417.4233238999426,747.9831262643625,418.70021527227567,124.41288525652963,594.4007361142178,121.87773690538882,239.96032809865375,689.1752075056627,375.1055291237385,475.0472589960205,621.0609026615582,686.060998167405,200.3925335353522,820.4682727595012,148.21422327294982,894.381722806027,244.85964052206384,204.49159027397945,217.33010829533103,825.66618635385,134.7411990829394,850.7310739450093,721.6266430571167,442.79819376395363,327.4892872928367,38.35482507092092,724.6065920289785,145.05289089299097,753.1058434457857
0.0002849104556328,414.50398757638834,746.4649394102187,415.0426100679842,126.1373478040115,591.4269151740392,122.85718222743593,240.57601606849013,687.4264314640668,371.8623263844874,479.32002168152985,621.3570927238437,687.9791061905693,203.2133944322653,822.617003524194,150.1729530260358,895.2271910236832,246.7789981361768,205.53546396886105,218.57783604962762,822.3781000002057,134.46155497927558,849.2745117465117,719.8652319224651,442.56475509297167,326.29694766529104,38.481210378483645,722.8054774171414,144.6931936633761,751.2505871654257
0.00029742274628300895,411.61945148597135,744.9416934311098,411.43266924343396,127.82809686432651,588.475176705089,123.82400582802751,241.17232254496412,685.6915526128673,368.65883919917707,483.5631642346383,621.6511041663732,689.8782398340966,206.02573157740258,824.7451544702745,152.1084992953376,896.0655559680074,248.6802286204935,206.58286510027145,219.81408347137713,819.1083936148253,134.1795038060047,847.8304560990448,718.1217010198093,442.3350923343164,325.11060587809084,38.60234735287188,721.0225773992308,144.33751981630903,749.4147592917765
0.0003104843406690377,408.64474327866725,743.3465280742917,407.714208295334,129.55782388102875,585.4172053393457,124.82001713647965,241.7744997302389,683.8951773489654,365.35638921883583,487.9613294980557,621.9557326386931,691.8407972533821,208.95238867780608,826.9450692731978,154.1046836860422,896.9332525747144,250.64586898807158,207.67984204104962,221.09251445459026,815.7146398659343,133.88260833343216,846.3361303651249,716.3204146671115,442.09929036181495,323.878544830844,38.72334387086476,719.1805192996554,143.97046481018066,747.5187331505359
0.00032354593505506653,405.70660891659446,741.7465584015024,404.0458798538955,131.25227310328492,582.382874960709,125.80269834103657,242.3563078360017,682.1136209649496,362.0958027963852,492.32791762233467,622.2580556300461,693.7832723990352,211.8696540850073,829.123150248351,156.076414726025,897.7934212250499,252.59233027222717,208.7803186250396,222.35875790482487,812.3406853793108,133.58330464709863,844.8549929669646,714.5380275919832,441.86743061292765,322.6529456508322,38.83890640547661,717.3576623670738,143.60767406771652,745.6432072628502
0.0003366075294410953,402.8043827867696,740.1421292334952,400.42679003957136,132.91216495668408,579.371971488322,126.77225998277343,242.9181200881216,680.3467201343211,358.8763793260479,496.66327849417536,622.5581068557392,695.705960274094,214.7774796273501,831.2796923412534,158.02409361796023,898.646167416268,254.51989735703398,209.88412544407103,223.61297453281261,808.9864122210678,133.28169768882918,843.3868268564332,712.7742498436572,441.63942849193563,321.4337706258998,38.949174964408606,715.5536866410996,143.2490877860472,743.7878496638249
