-> U2()
0.0001
6.278552661647474e-05
7.522780013575505e-05
9.46889933705042e-05
0.00012290758234643118
0.0001255964104204758
7.172475296424185e-05
5.525195888221314e-05
4.163820901888595e-05
3.1546833918145434e-05
4.7025310487023635e-05
