0 -> L3,0 -> U1L1
0.0006205680678704557,1.7175074893295407e-05
0.0007015061840380225,2.4834222445238065e-05
0.00037569656359291015,2.6450137718308494e-05
0.00033007573297220196,3.912100384348027e-05
0.00028902982939377843,4.7202419361448785e-05
0.00025164506843764227,5.197861901050771e-05
0.00021000116404987226,6.508363507233767e-05
0.0002968695640333918,7.284033980504735e-05
0.0003145160065278627,3.810914050848836e-05
0.0004037715131369855,2.9649310695029756e-05
0.00047609791920887506,2.3365650697358562e-05
