input range (species/sec),tau (sec),NRMSE_means,NRMSE_stds
0.0001,0.1,0.030047424475570777,0.012099195393138038
0.0001,0.2,0.04527149446686499,0.017621484933807666
0.0001,0.3,0.045011540027625245,0.019902007304767797
0.0001,0.4,0.050831442733781616,0.01700922763348571
0.0001,0.5,0.06587312696585038,0.024253729580988488
0.0001,0.6,0.04922246583198101,0.015908996581811746
0.0002,0.1,0.02616062397961339,0.01189093560645799
0.0002,0.2,0.036211055143281226,0.011244769986477277
0.0002,0.3,0.04332571169298922,0.014581681252381592
0.0002,0.4,0.045822079477873166,0.016856450011226855
0.0002,0.5,0.05819225523437408,0.02204749263680655
0.0002,0.6,0.06359248959316115,0.022052427168433416
0.0003,0.1,0.03307142945032838,0.013082587470778232
0.0003,0.2,0.0414598065231201,0.017781706536049848
0.0003,0.3,0.042805269745463476,0.017646910166929014
0.0003,0.4,0.048658502643197446,0.014146668454880159
0.0003,0.5,0.05288307927898004,0.020840531910944485
0.0003,0.6,0.05451336904426006,0.014560435204616421
0.0004,0.1,0.041431967539779846,0.016686751508576098
0.0004,0.2,0.0420539663378848,0.015378060410014613
0.0004,0.3,0.04769901257795318,0.01803785800807872
0.0004,0.4,0.04949014141527022,0.01668778032279531
0.0004,0.5,0.059973528793368744,0.02186534088885613
0.0004,0.6,0.052589496930921506,0.013448807452574775
0.0005,0.1,0.03206449689641223,0.01292039431622399
0.0005,0.2,0.04939927125868761,0.022196303101955972
0.0005,0.3,0.049638990057152145,0.017938100263902985
0.0005,0.4,0.05031384928827247,0.016493497664709384
0.0005,0.5,0.05657917677959018,0.016273858585387692
0.0005,0.6,0.05106926005035639,0.013291509510894682
0.0006,0.1,0.024606687003732412,0.006310505059644099
0.0006,0.2,0.03782904389699797,0.01232744465667996
0.0006,0.3,0.044008339196512515,0.017316095816075575
0.0006,0.4,0.04590670419698214,0.014145409471584498
0.0006,0.5,0.061913103717398665,0.02055553161208883
0.0006,0.6,0.0542413125151056,0.017086107137665715
