input range (species/sec),tau (sec),fitness_means,fitness_stds
0.0001,0.1,56.83825744167386,0.0
0.0001,0.2,90.52579980863706,0.0
0.0001,0.3,171.76938537602774,0.0
0.0001,0.4,23.090132178677248,0.0
0.0001,0.5,55.318955162487896,0.0
0.0001,0.6,57.72002959870519,0.0
0.0002,0.1,144.6326120581505,0.0
0.0002,0.2,241.94849426336987,0.0
0.0002,0.3,16.513259898957013,0.0
0.0002,0.4,20.344811356493764,0.0
0.0002,0.5,94.06650900172566,0.0
0.0002,0.6,11.020881215650851,0.0
0.0003,0.1,59.32453677860199,0.0
0.0003,0.2,45.081491397430376,0.0
0.0003,0.3,10.767198203169874,0.0
0.0003,0.4,225.85948352702758,0.0
0.0003,0.5,70.76160443579252,0.0
0.0003,0.6,28.264479944552733,0.0
0.0004,0.1,12.511973542575456,0.0
0.0004,0.2,9.198312948498241,0.0
0.0004,0.3,12.619419110627753,0.0
0.0004,0.4,57.956793264903496,0.0
0.0004,0.5,29.177498517967347,0.0
0.0004,0.6,31.97398938869551,0.0
0.0005,0.1,120.98373995489519,0.0
0.0005,0.2,63.98912619671924,0.0
0.0005,0.3,104.7605540409871,0.0
0.0005,0.4,37.675999165436586,0.0
0.0005,0.5,58.18922764308256,0.0
0.0005,0.6,60.12021885844557,0.0
0.0006,0.1,130.10871580584796,0.0
0.0006,0.2,93.14589409888652,0.0
0.0006,0.3,42.99593421607542,0.0
0.0006,0.4,116.36498487693468,0.0
0.0006,0.5,15.627152535785369,0.0
0.0006,0.6,11.938473697088414,0.0
