input range (species/sec),tau (sec),NRMSE_means,NRMSE_stds
0.0001,0.1,0.04493949587896125,0.007345073882700645
0.0001,0.2,0.07117051547896461,0.010073460394134856
0.0001,0.3,0.07952415171877728,0.008934602911846725
0.0001,0.4,0.10583684635932081,0.01803171986963976
0.0001,0.5,0.1505060639952807,0.009858388204173651
0.0001,0.6,0.21196908112550855,0.02261296000214116
0.0002,0.1,0.04703421935501516,0.01359800367197079
0.0002,0.2,0.0726047377003233,0.011990006947968103
0.0002,0.3,0.07811326025966114,0.00923485805940752
0.0002,0.4,0.10650694105084843,0.013947519912144709
0.0002,0.5,0.1505764959995293,0.004075040951755829
0.0002,0.6,0.20694855680710753,0.007972345906431174
0.0003,0.1,0.045170128925284214,0.009250497072306373
0.0003,0.2,0.06636137535216352,0.009111428303498835
0.0003,0.3,0.08224343586330586,0.012623526432730209
0.0003,0.4,0.10610571785760636,0.015579668128525915
0.0003,0.5,0.15197253705831304,0.015431218799910253
0.0003,0.6,0.20065452739175021,0.006385510831249879
0.0004,0.1,0.042957826599325274,0.006845340391708141
0.0004,0.2,0.07496221456198153,0.012194639931086063
0.0004,0.3,0.08347812004398669,0.014947461962812006
0.0004,0.4,0.09280236231530918,0.010431969205519547
0.0004,0.5,0.15057876449050284,0.008321758295961787
0.0004,0.6,0.19964384935064622,0.006285746694337547
0.0005,0.1,0.04795458524577462,0.0082453534432488
0.0005,0.2,0.0653407323913389,0.006635727407333325
0.0005,0.3,0.08518143924679294,0.012460926302510637
0.0005,0.4,0.1014627154977918,0.007792423510575188
0.0005,0.5,0.15052007235748288,0.005810729866124341
0.0005,0.6,0.19995960799605542,0.005123936584671242
0.0006,0.1,0.04384887030224286,0.010396813592907493
0.0006,0.2,0.07108458203940107,0.012281734542737519
0.0006,0.3,0.08524961434016379,0.012092141844670251
0.0006,0.4,0.11039061459297994,0.016886787843739655
0.0006,0.5,0.15679142011678296,0.010931596942291576
0.0006,0.6,0.19603684344142444,0.00757276940084999
