input range (species/sec),tau (sec),NRMSE_means,NRMSE_stds
0.0001,0.1,0.030772669446459237,0.0
0.0001,0.2,0.059673847208876966,0.0
0.0001,0.3,0.052603359411801734,0.0
0.0001,0.4,0.04051024136376876,0.0
0.0001,0.5,0.04993243652480654,0.0
0.0001,0.6,0.08266083303783615,0.0
0.0002,0.1,0.05187386491958171,0.0
0.0002,0.2,0.04881794633451182,0.0
0.0002,0.3,0.04159345031713091,0.0
0.0002,0.4,0.04544416147067615,0.0
0.0002,0.5,0.05111019248212314,0.0
0.0002,0.6,0.05163565601821771,0.0
0.0003,0.1,0.027616234577858372,0.0
0.0003,0.2,0.03573061545395385,0.0
0.0003,0.3,0.04169653320465823,0.0
0.0003,0.4,0.07420829906220702,0.0
0.0003,0.5,0.09640065586274332,0.0
0.0003,0.6,0.05397579703788022,0.0
0.0004,0.1,0.026390431457986994,0.0
0.0004,0.2,0.03724571579607072,0.0
0.0004,0.3,0.03874266504130919,0.0
0.0004,0.4,0.06342871289627354,0.0
0.0004,0.5,0.048737827051819324,0.0
0.0004,0.6,0.052342133977063984,0.0
0.0005,0.1,0.03610356680070305,0.0
0.0005,0.2,0.037940294207761266,0.0
0.0005,0.3,0.07317595760709751,0.0
0.0005,0.4,0.052547766358200944,0.0
0.0005,0.5,0.05009339590942401,0.0
0.0005,0.6,0.05018707254311811,0.0
0.0006,0.1,0.0352352048878982,0.0
0.0006,0.2,0.045210558980524916,0.0
0.0006,0.3,0.04204406568150696,0.0
0.0006,0.4,0.04531574246497791,0.0
0.0006,0.5,0.050869839677747365,0.0
0.0006,0.6,0.06112988488799226,0.0
