"Time ",U0,U1,U2,U3,L0,L1,L2,L3,L4,U2L2,U0L0,U0L2,U0L1,U1L0,U1L4,U2L1,U2L3,U3L3,U3L1,U3L2
0,528,388,153,340,267,332,821,918,89,700,236,287,559,592,713,434,596,64,876,726
0.000010026091060167917,525.3962184663887,387.78986861268464,152.3989187746777,340.75272831246036,266.59283857941205,334.16598688302787,816.6876542758486,917.7042808275465,89.18697359905386,701.9013939520999,236.05606486753692,288.83856993257365,559.6639054729832,592.3431831160829,712.7805602009594,434.08301234505,594.6081272052555,65.59900174447169,873.0793232261105,726.5532753210672
0.000018553305118674884,523.1977829072607,387.6112067263483,151.89123367575402,341.3797736466986,266.2468030747371,335.99436251605425,813.0415679228541,917.4516945382403,89.34556890172833,703.5093839589396,236.10394121032297,290.3932376994996,560.2214950684885,592.634619889901,712.5943964295889,434.155313740296,593.4282747692008,66.95624762126239,870.6144105462308,727.0205418864205
0.000029101899258520463,520.4984480608518,387.39026454347606,151.26764273747162,342.1389724429313,265.81906811899825,338.2387586539859,808.5584035298564,917.13787902689,89.54121845116138,705.4870050815222,236.1634099395184,292.30503555865425,560.9024041255626,592.9945805523805,712.3646992464168,434.24688927227754,591.9737351931748,68.63177927759338,867.5892631115562,727.5944054192266
0.00003965049339836604,517.8212551372029,387.16940284859237,150.64890139087748,342.8802018062908,265.3916991864498,340.4640893479228,804.1051175135822,916.8225839183553,89.73627121142287,707.451964167597,236.22314520899104,294.2043245224217,561.5736574324023,593.3539203212346,712.1356605658244,434.34079704062617,590.524708747231,70.30349061906009,864.5904551425364,728.1636838317908
0.000053476945718438166,514.3452572655658,386.880035044684,149.8451281720484,343.82501325933833,264.83208933245214,343.3523527831794,798.3128542122728,916.4071042963068,89.99103311037115,710.0085222098464,236.30184173543543,296.6750369198932,562.4391185406096,593.823980544037,711.8364451575682,434.46736632198827,588.6337372937236,72.4888745799117,860.6991868813167,728.9029608688345
0.00006730339803851029,510.90629134909693,386.59081097098,149.04943033627757,344.7400482746437,264.27311989412453,346.20858889613277,792.5709417550746,915.9891548919347,90.24477548485343,712.5437629443373,236.38098564341524,299.1246922462931,563.2885685856915,594.2929738440048,711.5383545871298,434.5978218253698,586.7521771624681,74.66767811513448,856.8519878325264,729.6344681574916
0.00008536511034708342,506.4687773052398,386.21321451994675,148.02192859124708,345.8915173578839,263.54390463989597,349.892160472846,785.1451327695604,915.4395271050633,90.57471277569121,715.8238780804614,236.48503671068414,302.29339495322165,564.3746261012008,594.9040199074759,711.150642526492,434.77398121669154,584.308384031577,77.50395806013111,851.8916318731312,730.5784445581983
0.00010342682265565654,502.09229383637995,385.83587505007176,147.00766028188914,346.99451185510975,262.815807089724,353.5226552507129,777.8031144354096,914.8858410793765,90.90292315458437,719.0685615620331,236.58982812755428,305.4271031056766,565.4345922951746,595.513245272706,710.7648355165671,434.9565122025957,581.8805104095704,80.32898167018996,847.0039354011901,731.5094017621078
0.0001137010464135446,499.6295542803872,385.6213464056121,146.4364947165567,347.60079724475077,262.4021400503909,355.5644754349046,773.6636180692361,914.5691045304818,91.08885454729479,720.8986569720773,236.649763104836,307.1942647568398,566.0261577901135,595.8589846567644,710.5462200077072,435.0631314562051,580.506510992494,81.93094122038643,844.2555057609646,732.0332098083933
0.00012397527017143266,497.18596611388216,385.40690415263856,145.86946117038187,348.1920388588522,261.98884154222395,357.5895605576351,769.5506389634631,914.2510983809453,91.27423083513351,722.7175509882649,236.7099311367502,308.9503643050132,566.6096179669507,596.2041350105013,710.3282167977786,435.1717402786936,579.1376208742315,83.52925366154362,841.52988385048,732.5528736964354
0.00013424949392932072,494.76131892584306,385.19254943393844,145.30650695872257,348.76846204038486,261.5759139860952,359.59806661992656,765.463965294455,913.9318380887141,91.45905335198906,724.525337161584,236.77032989658989,310.6954944965863,567.1850911677125,596.5486964021696,710.1108243916692,435.28231314587316,577.7738245136088,85.12391795498074,838.8268212995999,733.068418200031
0.0001445237176872088,492.35540529033506,384.97828337683393,144.74758024465478,349.33028851926616,261.1633597691358,361.59014794563905,761.4033873225158,913.6113389447484,91.64332342998658,726.3221080378657,236.8309570737714,312.42974706078803,567.7526937676379,596.8926689140301,709.894041296638,435.39482485278984,576.4151062100849,86.71493339940767,836.1460730585037,733.5798680374885
0.00015711317483562787,489.43257572405787,384.71585628595636,144.06811927642033,349.9991373482563,260.65835144382163,364.00896262037475,756.4630577814868,913.2169503750254,91.86836639325735,728.5088860038684,236.905554278979,314.54010508300667,568.4376388875037,597.3133507854086,709.6292360124984,435.53529735169377,574.7571092428901,88.65949907396183,832.8913040037186,734.2010234230224
0.00016970263198404697,486.53719693066404,384.4535659993945,143.39453687836448,350.64679107035386,260.1539114624388,366.4036226203084,751.5612205581532,912.8207518858253,92.09258432966541,730.6794286362331,236.98048681667976,316.63443169723996,569.1111448770417,597.7331488253623,709.3653406135973,435.67859845091976,573.1066834841229,90.59858562168974,829.6692382706026,734.8161130906134
0.00018229208913246608,483.6689050083531,384.19141449726294,142.72674277004043,351.2736361006418,259.6500440079002,368.77440175703106,746.6975023114011,912.4227705960919,92.31597967982756,732.8339001565571,237.05575053765446,318.7128895707477,569.7734142215265,598.1520632707608,709.1023523674577,435.8246836804399,571.4637991157063,92.53219376440715,826.4794448231161,735.4251821565883
