input range (species/sec),tau (sec),fitness_means,fitness_stds
0.0001,0.1,8.6834619118019,0.0
0.0001,0.2,71.03678578444101,0.0
0.0001,0.3,30.731759409954435,0.0
0.0001,0.4,15.136892839392479,0.0
0.0001,0.5,13.509074371066864,0.0
0.0001,0.6,21.347746583155015,0.0
0.0002,0.1,41.03644581541167,0.0
0.0002,0.2,167.97297095798024,0.0
0.0002,0.3,13.401833111497256,0.0
0.0002,0.4,9.43396335756077,0.0
0.0002,0.5,146.49709845466452,0.0
0.0002,0.6,10.055105548537142,0.0
0.0003,0.1,47.7587885240581,0.0
0.0003,0.2,13.89588954956815,0.0
0.0003,0.3,228.4157482435295,0.0
0.0003,0.4,16.54166178547183,0.0
0.0003,0.5,16.16256800988457,0.0
0.0003,0.6,5.940407499485802,0.0
0.0004,0.1,20.051104667852062,0.0
0.0004,0.2,20.575651054284403,0.0
0.0004,0.3,5.364739459330087,0.0
0.0004,0.4,15.144881691624898,0.0
0.0004,0.5,13.469566497116034,0.0
0.0004,0.6,12.028639111026665,0.0
0.0005,0.1,31.6030455185005,0.0
0.0005,0.2,21.643318417945924,0.0
0.0005,0.3,30.32573941808,0.0
0.0005,0.4,16.151172207956524,0.0
0.0005,0.5,16.946437867378506,0.0
0.0005,0.6,38.41977239236882,0.0
0.0006,0.1,876.9350542462092,0.0
0.0006,0.2,41.93870851258109,0.0
0.0006,0.3,318.0349691380872,0.0
0.0006,0.4,14.938313339611106,0.0
0.0006,0.5,11.01316021690675,0.0
0.0006,0.6,8.757550778553512,0.0
