input range (species/sec),tau (sec),NRMSE_means,NRMSE_stds
0.0001,0.1,0.047051177094059406,0.008479013608310895
0.0001,0.2,0.05534701366824457,0.011656174963601235
0.0001,0.3,0.06887079199922694,0.01946380651875273
0.0001,0.4,0.07367947841193667,0.019039909927851113
0.0001,0.5,0.06842807263686357,0.015507492944152912
0.0001,0.6,0.06640874311430507,0.012892276837118794
0.0002,0.1,0.05129960736379445,0.015197382322333709
0.0002,0.2,0.06742113033020075,0.010677328886276179
0.0002,0.3,0.06795144109368538,0.014961356609120865
0.0002,0.4,0.07573778756499962,0.011326184163057503
0.0002,0.5,0.0726039311906755,0.01693286884072944
0.0002,0.6,0.06893965752192341,0.01652369060144047
0.0003,0.1,0.04886071007977064,0.007100245423810427
0.0003,0.2,0.05733042307490369,0.010431432513648134
0.0003,0.3,0.07078695166262307,0.023581163603308523
0.0003,0.4,0.06235047193547261,0.014259654571644052
0.0003,0.5,0.07815075531068401,0.014679985455132886
0.0003,0.6,0.07189981506279358,0.02002652199021407
0.0004,0.1,0.044919722329458595,0.005845320276225158
0.0004,0.2,0.05935546814929197,0.00761722179382264
0.0004,0.3,0.07542965772454255,0.018082728252838423
0.0004,0.4,0.07132956181932533,0.02306028339216948
0.0004,0.5,0.07060406977293533,0.017985397696255456
0.0004,0.6,0.0726570585850522,0.01454415484706696
0.0005,0.1,0.05018113971290512,0.005427427419078675
0.0005,0.2,0.06927674587689894,0.01896025999352262
0.0005,0.3,0.06943930201670431,0.018829904880775832
0.0005,0.4,0.07239806819777303,0.017948105649526723
0.0005,0.5,0.06861554803048878,0.012755515725285075
0.0005,0.6,0.07298468460431434,0.015633665435791994
0.0006,0.1,0.056292891436278004,0.015028690353773001
0.0006,0.2,0.06332858255249177,0.01072604050223655
0.0006,0.3,0.06990685252826881,0.013244503420467459
0.0006,0.4,0.06943858418231691,0.023503998171034882
0.0006,0.5,0.0724096744665172,0.02099159218313111
0.0006,0.6,0.06988529907646054,0.015822941057165994
