input range (species/sec),tau (sec),fitness_means,fitness_stds
0.0001,0.1,135.65707465293343,30.596475437516244
0.0001,0.2,135.98166908542993,37.11151671049428
0.0001,0.3,161.3289923571927,75.73876060092283
0.0001,0.4,148.6074249219485,59.773546161416895
0.0001,0.5,330.431387182842,229.45837183059777
0.0001,0.6,272.77000362773003,212.65516045433236
0.0002,0.1,151.5330203371281,76.17701933979308
0.0002,0.2,147.61747315295415,33.424120722496234
0.0002,0.3,133.29156878079607,59.44384262660348
0.0002,0.4,293.72446961009234,351.1339327144313
0.0002,0.5,649.9161956970813,1073.2800970928793
0.0002,0.6,146.41085991065853,94.47250206422582
0.0003,0.1,159.12932236386433,44.94222879620698
0.0003,0.2,119.67429483047484,55.43516442731227
0.0003,0.3,117.25285803953261,39.41245040429603
0.0003,0.4,163.9926679020649,81.8484562621864
0.0003,0.5,466.58626305864743,674.4653758248725
0.0003,0.6,339.5383506137193,233.63288439223095
0.0004,0.1,178.22608774776705,55.583025291684336
0.0004,0.2,145.4865769963042,51.50159301759371
0.0004,0.3,189.42918141630588,119.3411828017953
0.0004,0.4,268.7807608691843,309.2238748535026
0.0004,0.5,183.94156151936602,93.94610460026273
0.0004,0.6,325.7637215105009,193.15122238986882
0.0005,0.1,140.41275848078033,40.35572121957713
0.0005,0.2,145.25454327187586,60.622717003921785
0.0005,0.3,169.5763358566674,90.91909863742298
0.0005,0.4,213.29219261089435,170.05325545212781
0.0005,0.5,153.8863683610677,94.90795186665656
0.0005,0.6,247.04821968103178,112.42409668635166
0.0006,0.1,180.51592037557265,82.15173670420357
0.0006,0.2,227.8687540062916,159.38173061362673
0.0006,0.3,139.98373974852015,53.85592201435841
0.0006,0.4,191.11137756807233,86.31962019957051
0.0006,0.5,201.1653950388167,170.75295887609826
0.0006,0.6,329.72261155572016,278.3897625214325
