0 -> L1,0 -> U0L2
9.705012740354183e-05,5.94900245637202e-05
5.9378943169971465e-05,6.436634549328898e-05
4.1936086488098956e-05,6.036677627539846e-05
4.110797551651455e-05,6.028377697586806e-05
