-> L0()
0.0001
0.00013754019511495096
0.0001484131558086132
8.120398288220122e-05
7.130288184631283e-05
5.224344805529044e-05
3.903565173647254e-05
4.055400305157877e-05
5.058981504399018e-05
4.6146779026644376e-05
2.8224534493336814e-05
