0 -> L0,0 -> U0L1
5.2794160920431694e-05,0.000856991694062186
3.877558372133073e-05,0.0009564301601747896
3.5658945325473814e-05,0.0010729761898974923
4.486635978657467e-05,0.0011008089328550883
6.023052002940586e-05,0.0015748449761520328
7.54996763725776e-05,0.0013650635564010445
9.3960781793116e-05,0.0011273447767608344
4.9683413344803296e-05,0.0010965399408035296
3.097653331707241e-05,0.0010039665477065676
1.5992017702569755e-05,0.0008034225485345145
2.0059197493636522e-05,0.0007563990028885398
